ast_k1,sdc,sc_k2
jzck,133826,100
jzck,136541,100
jzck,152692,60
jzck,159842,0
jzck,171109,80
jzck,171477,100
jzck,214934,40
jzck,217056,60
jzck,227667,100
jzck,230494,80
jzck,251974,80
jzck,252398,0
jzck,262192,80
jzck,273825,60
jzck,274293,20
jzck,284514,80
jzck,300556,80
jzck,302588,80
jzck,326959,40
jzck,327137,60
jzck,329294,60
jzck,331329,0
jzck,373901,0
jzck,374400,80
jzck,374526,80
jzck,377532,100
jzck,408620,100
jzck,424276,0
jzck,427093,60
jzck,437672,100
jzck,451220,80
jzck,464214,0
jzck,471871,100
jzck,473266,100
jzck,479675,80
jzck,480843,60
jzck,488081,40
jzck,507497,100
jzck,519678,0
jzck,520944,100
jzck,524203,80
jzck,529445,0
jzck,539865,40
jzck,551028,20
jzck,553009,0
jzck,573322,80
jzck,586981,80
jzck,591716,60
jzck,596235,40
jzck,599647,0
jzck,599697,0
jzck,601465,0
jzck,605009,100
jzck,620063,0
jzck,624831,0
jzck,629220,60
jzck,631199,60
jzck,637153,0
jzck,653801,0
jzck,655715,60
jzck,670452,40
jzck,685939,100
jzck,722106,80
jzck,734042,100
jzck,734739,80
jzck,739244,0
jzck,758592,40
jzck,767173,100
jzck,769815,40
jzck,772634,60
jzck,781936,60
jzck,782903,0
jzck,805101,60
jzck,813434,0
jzck,829577,80
jzck,837888,40
jzck,844462,100
jzck,854333,100
jzck,855762,100
jzck,868366,0
jzck,904274,60
jzck,911815,100
jzck,935063,0
jzck,962740,60
jzck,975179,80
cdlm,758592,0
cdlm,596235,80
cdlm,975179,40
cdlm,739244,0
cdlm,408620,80
cdlm,524203,60
cdlm,767173,100
cdlm,329294,80
cdlm,855762,60
cdlm,782903,60
cdlm,685939,100
cdlm,829577,100
cdlm,734042,100
cdlm,670452,100
cdlm,252398,60
cdlm,120912,0
cdlm,653801,60
cdlm,601465,0
cdlm,813434,0
cdlm,427093,0
cdlm,629220,0
cdlm,300556,100
cdlm,302588,60
cdlm,599647,0
cdlm,591716,0
cdlm,962740,60
cdlm,437672,100
cdlm,251974,100
cdlm,262192,100
cdlm,844462,20
cdlm,473266,0
cdlm,152692,80
cdlm,451220,100
cdlm,274293,0
cdlm,573322,100
cdlm,217056,80
cdlm,637153,0
cdlm,551028,20
cdlm,171109,60
cdlm,553009,0
cdlm,104891,0
cdlm,424276,40
cdlm,284514,60
cdlm,104618,80
cdlm,326959,0
cdlm,772634,60
cdlm,479675,100
cdlm,519678,0
cdlm,327137,80
cdlm,620063,0
cdlm,273825,60
cdlm,374526,80
cdlm,781936,60
cdlm,805101,80
cdlm,722106,0
cdlm,520944,100
cdlm,133826,60
cdlm,734739,100
cdlm,631199,100
cdlm,935063,80
cdlm,911815,100
cdlm,904274,60
cdlm,624831,0
cdlm,471871,0
cdlm,109220,80
cdlm,171477,100
cdlm,136541,100
cdlm,605009,100
cdlm,837888,40
cdlm,117939,0
cdlm,464214,0
cdlm,331329,0
cdlm,507497,100
cdlm,227667,40
cdlm,769815,60
cdlm,230494,80
cdlm,488081,100
cdlm,214934,60
cdlm,539865,0
cdlm,377532,100
cdlm,529445,0
cdlm,586981,60
cdlm,159842,0
cdlm,854333,100
cdlm,655715,80
cdlm,123875,60
cdlm,373901,80
cdlm,480843,100
cdlm,599697,0
cdlm,868366,0
cdlm,374400,100
eion,758592,0
eion,596235,20
eion,975179,40
eion,739244,0
eion,408620,100
eion,524203,40
eion,767173,80
eion,329294,20
eion,855762,0
eion,782903,100
eion,685939,100
eion,829577,60
eion,734042,100
eion,670452,20
eion,252398,0
eion,120912,0
eion,653801,20
eion,601465,0
eion,813434,0
